

==================== CO1 ====================
[2M | Remember | 1 (Easy)] What is DBMS?
[5M | Apply | 2 (Average)] Given a table Orders (Order_ID, Product_Name, Order_Date, Quantity), write an SQL query to find the total quantity of each product ordered. Use GROUP BY.
[5M | Apply | 1 (Easy)] Write an SQL query to delete all records from the table Student where Enrollment_Date is older than '2020-01-01'.
[5M | Apply | 2 (Average)] Given a table Products (Product_ID, Product_Name, Price), write an SQL query to update the price of a product with Product_ID = P101 to 25% higher than its current price.
[5M | Apply | 1 (Easy)] Write an SQL query to retrieve the names and salaries of employees, where the salary is between 30000 and 60000, sorted in ascending order of salary.
[5M | Apply | 1 (Easy)] Write an SQL query to create a table Products with columns Product_ID (Primary Key), Product_Name, Category, Price, and Stock. The Price should have a default value of 100.
[5M | Apply | 1 (Easy)] Write an SQL query to fetch the first name, last name, and hire date of employees whose name starts with 'A' or 'J' from the Employees table.
[5M | Apply | 2 (Average)] Write an SQL query to find the average price of all products in the Products table, with a Category of 'Electronics', using the AVG() function.
[5M | Apply | 2 (Average)] Given a Customers (Customer_ID, Customer_Name, Contact_Number) table, write an SQL query to retrieve customer names who have no contact number listed.
[5M | Apply | 2 (Average)] Write an SQL query to update the Stock value in the Products table by 10% for all products in the 'Books' category.
[5M | Apply | 1 (Easy)] Write an SQL query to delete all records from the Products table where the Stock is zero or less.
[5M | Apply | 1 (Easy)] Write an SQL query to add a Date_of_Joining column (with DATE datatype) to the Employees table.
[5M | Apply | 1 (Easy)] Write an SQL query to retrieve the names of employees who have not been assigned to a department. Assume there is a Department table with Dept_ID and an Employees table with a Dept_ID.
[5M | Apply | 1 (Easy)] Write an SQL query to display all the unique job titles from the Employees table using the DISTINCT keyword.
[5M | Apply | 1 (Easy)] Write an SQL query to find the names and prices of products that have a price between 100 and 500 in the Products table. Use BETWEEN operator.
[10M | Analyze | 3] Consider the following employee database.                                      Employee (empname, street, city, date_of_joining)                                 Works (empname, company_name, salary)                                            Company (company_name, city)                                                          Manages (empname, manager_name)                                                    Write SQL queries for the following statements:
i) Modify the database so that employee “Sachin” now lives in “Mumbai”
ii) Find the number of employees in each city with date_of_joining as “01-Aug-2017”
iii) List the name of companies starting with the letter “A”
[10M | Understand | 2] What are Constraints? What are the syntaxes for the different types of constraints to be applied when creating tables and over existing tables?
[10M | Analyze | 3] Consider the following tables:
Works (Pname, Cname, Salary)
Lives (Pname, Street, City)
Located-in (Cname, City)
Write the following queries in SQL
a. List the names of the people who work for the company “Wipro” along with cities they live in
b. Find the names of the persons who do not work for “Infosys”
[10M | Analyze | 3] For the relation Branch (branch_name, city, assets)
1) Find the names of all branches that have assets greater than those of at least one branch located in Mumbai
2) Find the names of all branches that have assets greater than each branch located in Mumbai
3) Find the number of branches located in each city
[10M | Understand | 3 (Difficult)] What is the role of Data Control Language (DCL) commands in SQL? Explain with examples.
[10M | Apply | 2 (Average)] Write an SQL query to retrieve the top 5 highest paid employees from the employees table using the ORDER BY clause.
[10M | Analyze | 3 (Difficult)] Many assume that INNER JOIN is always the most efficient way to join tables. What are the potential risks or limitations of relying solely on INNER JOIN in large datasets?
[10M | Analyze | 3 (Difficult)] It is often stated that using TRUNCATE is faster than DELETE due to less logging. Do you agree? How might the differences between DELETE and TRUNCATE affect system performance in different scenarios?
[10M | Analyze | 3 (Difficult)] SQL transactions are generally assumed to be atomic, consistent, isolated, and durable (ACID). Are there cases where relaxing any of these properties might be justified?
[10M | Evaluate | 3 (Difficult)] Why is it crucial to understand the concept of referential integrity when working with foreign keys in relational databases? What are the potential consequences of ignoring it?
[10M | Analyze | 3 (Difficult)] SQL allows different types of joins. Why is it necessary to understand the difference between INNER JOIN, LEFT JOIN, and RIGHT JOIN? How do these joins impact the results of a query?
[10M | Analyze | 3 (Difficult)] Discuss the advantages and disadvantages of using Data Definition Language (DDL) in a production database. How can the use of DDL be optimized for performance and security in real-time applications?
[10M | Understand | 2 (Average)] Differentiate between Data Manipulation Language (DML) and Data Definition Language (DDL) in terms of their impact on the database structure and data. How do they complement each other in a database system?
[10M | Evaluate | 3 (Difficult)] What are the potential risks and rewards of using Data Control Language (DCL) in a multi-user environment? Discuss its implications on database security, access control, and permissions.
[10M | Analyze | 3 (Difficult)] SQL is often considered an industry standard for querying databases. Discuss its limitations and compare it with NoSQL databases. When might one be preferred over the other in real-world applications?
[10M | Evaluate | 3 (Difficult)] From a performance optimization perspective, why is it recommended to use constraints like PRIMARY KEY, FOREIGN KEY, and UNIQUE in a relational database? What are the trade-offs involved in enforcing these constraints?
[10M | Analyze | 2 (Average)] How does SQL’s Data Integrity Constraints differ in their approaches to ensuring data accuracy across different database systems (e.g., MySQL, PostgreSQL, Oracle)? Compare the best practices in implementing these constraints.
[10M | Analyze | 3 (Difficult)] Aggregate functions like COUNT, SUM, and AVG are widely used in SQL queries. Discuss the pros and cons of using aggregate functions in large datasets. How does the data structure influence their efficiency?
[10M | Understand | 2 (Average)] Discuss the role of GROUP BY and HAVING clauses in SQL queries. How does the use of HAVING after GROUP BY offer a different perspective in filtering grouped data, and in which scenarios would you use each?
[10M | Evaluate | 3 (Difficult)] From a database administrator's viewpoint, how do the SQL Transaction Control Language (TCL) commands (COMMIT, ROLLBACK, SAVEPOINT) affect the reliability and consistency of a database? What challenges do administrators face when managing transactions?
[10M | Analyze | 3 (Difficult)] SQL queries often rely on JOIN operations to combine data from multiple tables. What are the advantages and potential issues with using INNER JOIN versus OUTER JOIN in database design? Discuss scenarios where each is most effective.
[10M | Evaluate | 3 (Difficult)] What are the implications of using Data Definition Language (DDL) commands such as DROP and ALTER in a live production database? Discuss the consequences of accidental data loss or structure modification.
[10M | Evaluate | 3 (Difficult)] How does the use of Data Control Language (DCL) impact the database security in multi-user environments? Discuss the potential consequences of improper permission management and unauthorized access.
[10M | Evaluate | 2 (Average)] What are the consequences of not enforcing proper Data Integrity Constraints in a database system? Discuss how the absence of constraints like PRIMARY KEY, FOREIGN KEY, and CHECK can lead to data anomalies.
[10M | Evaluate | 3 (Difficult)] How does using SQL's Transaction Control Language (TCL) commands such as COMMIT and ROLLBACK impact the consistency and reliability of data during concurrent transactions? Discuss the potential consequences in scenarios of system failure.
[10M | Analyze | 3 (Difficult)] What is the impact of using GROUP BY and HAVING clauses on query performance, particularly in large databases? Discuss the trade-offs between query optimization and complexity when grouping large datasets.
[10M | Evaluate | 3 (Difficult)] Discuss the potential consequences of improper use of aggregate functions like SUM or AVG in SQL queries. How could inaccurate data aggregation lead to faulty business insights and decision-making?
[10M | Evaluate | 3 (Difficult)] What are the consequences of not properly managing SQL query transactions, particularly when handling critical data changes in an enterprise system? How can improper transaction handling affect data integrity?
[10M | Evaluate | 2 (Average)] How do improper JOIN operations in SQL (e.g., using INNER JOIN when OUTER JOIN is required) affect the outcome of a query? What are the consequences of losing necessary data when selecting the wrong type of join?
[10M | Evaluate | 3 (Difficult)] Discuss the long-term implications of using poorly defined database schemas in SQL. How could it affect future data migration, scalability, and system performance?
[10M | Evaluate | 3 (Difficult)] What are the potential consequences of not ensuring data consistency through SQL constraints and triggers in high-availability systems? How could this lead to data corruption or system crashes?
[10M | Apply | 2 (Average)] Write an SQL query to find the names of employees from the table Employees who are in the department with ID D002, using INNER JOIN with the Department table (assuming the department details are in a table called Department).
[10M | Apply | 3 (Difficult)] Write an SQL query to retrieve the second highest salary from the table Employee (Emp_ID, Emp_Name, Emp_Salary).
[10M | Apply | 2 (Average)] Write an SQL query to list all Employees who have worked more than 5 years, given the Hire_Date field in the Employees table.
[10M | Apply | 2 (Average)] Write an SQL query to create a table Books with the following fields: Book_ID (Primary Key), Title, Author, Publish_Date, and Price. Ensure that Price should not be NULL and Publish_Date must be a valid date.
[10M | Apply | 2 (Average)] Write an SQL query to find the total number of employees in each department, assuming a Department table with a Dept_ID and Employees table with Dept_ID. Use GROUP BY and COUNT().
[10M | Apply | 2 (Average)] Write an SQL query to retrieve the names and hire dates of employees from the Employees table who were hired in the last three months.
[10M | Apply | 3 (Difficult)] Write an SQL query to create a Students table with Student_ID, First_Name, Last_Name, Date_Of_Birth, Gender, and Enrollment_Date (Primary Key). Make Gender a CHECK constraint with values 'M' or 'F'.
[10M | Apply | 3 (Difficult)] Write an SQL query to find all students who have enrolled in the course 'DBMS' from the Enrollments table (with columns Student_ID, Course_Name, Enrollment_Date). Use GROUP BY and HAVING.
[10M | Analyze | 2 (Average)] Write an SQL query to list the names and salaries of employees who have a salary higher than the average salary in the Employees table.
[10M | Analyze | 2 (Average)] Write an SQL query to retrieve the names of all employees from the Employees table who are working in departments with more than 10 employees, using a Department table with Dept_ID and Dept_Name.
[10M | Apply | 2 (Average)] Write an SQL query to find the highest salary from each department in the Employees table using GROUP BY and MAX().
[10M | Apply | 3 (Difficult)] Write an SQL query to create a Sales table with the following fields: Sale_ID (Primary Key), Product_ID, Quantity, Sale_Date. The Product_ID is a foreign key referencing Product_ID from the Products table.
[10M | Apply | 2 (Average)] Write an SQL query to retrieve the names of customers and their total purchase amount from the Purchases table, where the purchase amount is greater than 100. Use SUM() and GROUP BY clauses.
[10M | Evaluate | 3 (Difficult)] Reflecting on SQL's data manipulation capabilities, how does the use of JOIN improve database querying compared to multiple SELECT statements? Provide an example using a Customers and Orders table to support your argument.
[10M | Evaluate | 3 (Difficult)] Consider an e-commerce database with Products, Orders, and Customers tables. How can you design an optimized SQL query to calculate the total sales per product over time, considering potential performance issues with large datasets?
[10M | Analyze | 3 (Difficult)] How would you compare the use of IN, EXISTS, and JOIN in SQL? Discuss the advantages and limitations of each, providing real-world examples where each might be preferable.
[10M | Evaluate | 3 (Difficult)] Reflect on the implications of using TRUNCATE versus DELETE commands in SQL. What are the potential advantages and risks of using each, and in which situations should one be preferred over the other?
[10M | Analyze | 2 (Average)] When designing a database, how would you decide whether to use a PRIMARY KEY or UNIQUE constraint for a field? Reflect on their roles in maintaining data integrity, and provide examples of when each is most appropriate.
[10M | Evaluate | 3 (Difficult)] Reflect on the role of ACID properties in SQL transactions. How do they ensure data consistency and integrity in multi-user environments? Provide an example where transaction control in SQL (e.g., COMMIT, ROLLBACK) is essential.
[10M | Evaluate | 3 (Difficult)] How would you justify the decision to use GROUP BY in SQL to aggregate data versus using JOIN for combining data from multiple tables? What are the performance and data accuracy considerations in each approach?
[10M | Analyze | 3 (Difficult)] SQL offers multiple ways to enforce data integrity, such as using CHECK constraints and TRIGGERS. Reflect on the differences between these two approaches in ensuring data correctness. Which would you recommend for different scenarios?
[10M | Analyze | 3 (Difficult)] Considering a scenario where you need to optimize queries that retrieve large datasets, how would you adjust the SQL queries to ensure they are both efficient and easy to scale? Reflect on query optimization techniques and indexing.
[10M | Evaluate | 3 (Difficult)] Reflecting on SQL commands like INSERT, UPDATE, and DELETE, how does their transactional nature influence the reliability and consistency of data during concurrent operations? Provide a use case where transaction control is vital.


==================== CO4 ====================
[2M | Remember | 1] What is a nested subquery? Provide an example.
[2M | Understand | 1] What are the different types of joins in SQL?
[2M | Remember | 1] Define a view in SQL and explain its advantages.
[2M | Apply | 2] Write a SQL query to create a view for employees with a salary greater than 50000.
[2M | Apply | 1] Write a SQL query to grant SELECT privilege on a table to a user.
[2M | Remember | 1] What is a cross join? Provide an example.
[2M | Remember | 1] What is the purpose of the GRANT statement in SQL? Provide an example.
[2M | Understand | 1] Describe the REVOKE statement and its significance in database security.
[2M | Apply | 1] Write a SQL query to revoke SELECT privilege from a user on a specific table.
[2M | Remember | 1] What is the purpose of the SQL SELECT statement? Provide an example.
[2M | Apply | 1] Write a SQL query to retrieve distinct values from a column in a table.
[2M | Remember | 1] What is the purpose of the SQL WHERE clause? Provide an example.
[2M | Remember | 1] What is the significance of using comments in SQL queries?
[2M | Apply | 1] Write a SQL query to find the maximum salary from the employees table.
[5M | Understand | 2 (Average)] Explain the concept of referential integrity in SQL.
[5M | Understand | 2 (Average)] Explain the Selection operation in Relational Algebra.
[5M | Understand | 1 (Easy)] Write a note on nested queries.
[5M | Analyze | 2 (Average)] What are the differences between a inner join and an outer join?
[5M | Understand | 2 (Average)] Explain the Set difference operation in relational Algebra.
[5M | Understand | 1 (Easy)] What is a subquery? Give examples.
[5M | Analyze | 2 (Average)] What are the differences between an inner join and a natural join?
[5M | Remember | 1 (Easy)] How is a VIEW dropped in SQL?
[5M | Understand | 1 (Easy)] Why is relational algebra called a non-procedural language?
[5M | Understand | 2] What is an assertion in SQL? Provide an example.
[5M | Understand | 2] Explain the purpose of triggers in SQL.
[5M | Apply | 2] Write a SQL statement to create a trigger that updates the salary of an employee when their position changes.
[5M | Analyze | 2] Discuss the importance of database security and authorization.
[5M | Understand | 2] What is the purpose of granting privileges in SQL?
[5M | Understand | 2] Explain how to revoke authorization in SQL.
[5M | Analyze | 2] What is the difference between tuple relational calculus and domain relational calculus?
[5M | Apply | 2] Provide an example of a SQL query using a nested subquery.
[5M | Understand | 2] Explain the concept of data integrity and its importance in SQL.
[5M | Understand | 2] What are the different types of triggers in SQL?
[5M | Understand | 2] Explain the concept of a self-join with an example.
[5M | Analyze | 2] Discuss the concept of database authorization and its significance.
[5M | Analyze | 2] What is the purpose of using views in SQL? Discuss their advantages and disadvantages.
[5M | Apply | 2] Write a SQL query to create a view that shows the total sales per product.
[5M | Understand | 2] Explain the concept of a materialized view and its benefits.
[5M | Analyze | 2] What are the differences between a view and a table in SQL?
[5M | Apply | 2] Write a SQL query to demonstrate the use of a right join.
[5M | Understand | 2] Explain the concept of data encryption in database security.
[5M | Understand | 2] What is a database trigger? Discuss its types and use cases.
[5M | Understand | 2] Explain the concept of a database role and its advantages.
[5M | Analyze | 2] Discuss the importance of auditing in database security.
[5M | Understand | 2] What is the difference between a primary key and a foreign key in terms of referential integrity?
[5M | Understand | 2] Explain the concept of cascading actions in referential integrity.
[5M | Apply | 2] Write a SQL query to demonstrate the use of cascading delete.
[5M | Understand | 2] Explain the concept of data masking and its importance in database security.
[5M | Apply | 2] Write a SQL query to create a nested subquery that retrieves employees with salaries higher than the average salary.
[5M | Understand | 2] Explain the concept of SQL functions and provide examples of aggregate functions.
[5M | Understand | 2] What is the purpose of the GROUP BY clause in SQL? Provide an example.
[5M | Apply | 2] Write a SQL query that uses the HAVING clause to filter results from a GROUP BY operation.
[5M | Apply | 2] Write a SQL query to demonstrate the use of a correlated subquery.
[5M | Analyze | 2] What are the advantages of using stored procedures in SQL?
[5M | Understand | 2] Explain the concept of data integrity constraints in SQL and provide examples.
[5M | Understand | 2] Explain the ACID properties of transactions in SQL.
[5M | Apply | 2] Write a SQL query to demonstrate the use of the COMMIT and ROLLBACK statements.
[5M | Understand | 2] Explain the concept of a database schema and its components.
[5M | Apply | 2] Write a SQL query to update records in a table based on a condition.
[5M | Understand | 2] Explain the concept of a database management system (DBMS) and its functions.
[5M | Apply | 2] Write a SQL query to retrieve all employees whose last name starts with 'S'.
[5M | Apply | 2] Create a SQL query to find the total number of orders placed by each customer.
[5M | Apply | 2] Write a SQL query to list all products that have a price between $10 and $50.
[5M | Apply | 2] Create a SQL query to retrieve the names of customers who have not placed any orders.
[5M | Apply | 2] Write a SQL query to calculate the average salary of employees in each department.
[5M | Apply | 2] Write a SQL query to find all employees who were hired in the last 30 days.
[5M | Apply | 2] Create a SQL query to list all orders along with the corresponding customer names.
[5M | Apply | 2] Write a SQL query to retrieve the top 5 highest-paid employees.
[5M | Apply | 2] Write a SQL query to find the total sales for each product category.
[5M | Apply | 2] Create a SQL query to list all employees who have the same job title as 'Manager'.
[5M | Apply | 2] Write a SQL query to find the number of distinct products sold in the last month.
[5M | Apply | 2] Write a SQL query to retrieve all customers who live in 'New York' or 'Los Angeles'.
[5M | Apply | 2] Create a SQL query to find the total number of employees in each department.
[5M | Apply | 2] Write a SQL query to list all products that are out of stock.
[5M | Apply | 2] Write a SQL query to find the employee with the second highest salary.
[5M | Apply | 2] Create a SQL query to retrieve all orders placed in the last week.
[5M | Apply | 2] Write a SQL query to find all customers who have placed more than 3 orders.
[5M | Apply | 2] Write a SQL query to retrieve the names of employees along with their department names.
[10M | Understand | 2 (Average)] Explain Joins and types of Joins with suitable examples
[10M | Apply | 3 (Difficult)] Explain the following Relational Algebra operations with suitable example
a. Union 
b. Cartesian Product                                                                                   c. Project                                                                                                   d. Select
[10M | Apply | 2 (Average)] Consider the following database table: Emp (eid, ename, salary, address, deptid) Dept (deptid, dname, address). Construct the following SQL queries:a. Find the name of employee whose address is “Bandra”.b. Find name of employee earning highest salary. c. Find all employees working for the “HR” department. d. Delete the record of the employee with minimum salary.
[10M | Understand | None] Explain the different operators in Relational Algebra.
[10M | Analyze | None] Consider the following database table. 
Emp (eid, ename, salary, salary, address, deptid)
Dept (deptid, dname, address)
Construct the following SQL query for this relational database.
a. Find the name of employee whose address is “bandra”
b. Find name of employee earning highest salary 
c. Find all employee working for “HR” department 
d. Delete record of employee with minimum salary
[10M | Apply | 3 (Difficult)] Consider the following schema for Institute Library: Student (Roll No, Name, Father_Name, Branch), Book (ISBN, Title, Author, Publisher), Issue (Roll No, ISBN, Date_of_Issue). Write SQL queries for the following statements: i. List Roll Number and Name of all students of the branch CSE. ii. Find the name of students who have issued a book published by ‘ABC’ publisher. iii. List title of all books and their author issued by student ‘Prashant’. iv. List title of all books issued on or before 1st Jan 2014.
[10M | Analyze | 3] Discuss the role of relational algebra operations in SQL.
[10M | Apply | 3] Create a SQL query that demonstrates the use of multiple joins.
[10M | Apply | 3] Write a SQL query to create an assertion that ensures the total salary of employees does not exceed a certain limit.
[10M | Evaluate | 3] Discuss the implications of not enforcing referential integrity in a database.
[10M | Apply | 3] Write a SQL query to create a trigger that logs changes to a specific table.
[10M | Analyze | 3] Discuss the role of SQL assertions in maintaining data integrity.
[10M | Evaluate | 3] Explain the concept of SQL injection and how to prevent it.
[10M | Apply | 3] Write a SQL query to create a role and grant it specific privileges.
[10M | Evaluate | 3] What are the best practices for securing a database?
[10M | Analyze | 3] Discuss the differences between SQL and NoSQL databases in terms of data integrity and security.
[10M | Understand | 3] Explain the concept of database normalization and its impact on data integrity.
[10M | Apply | 3] Write a SQL query to create a stored procedure that calculates the total sales for a given product.
[10M | Analyze | 3] Discuss the role of indexes in improving query performance and their impact on data integrity.
[10M | Evaluate | 3] Discuss the importance of transaction management in SQL.
[10M | Evaluate | 3] Discuss the implications of data breaches in database security.
[10M | Apply | 3] Create a SQL query to find the total revenue generated from sales in the last quarter.
[10M | Apply | 3] Write a SQL query to list all customers who have not made any purchases in the last year.
[10M | Apply | 3] Write a SQL query to find the average order value for each customer.
[10M | Apply | 3] Create a SQL query to retrieve the names of employees who have received a raise in the last year.
[10M | Apply | 3] Write a SQL query to find the total number of products sold by each salesperson.
[10M | Apply | 3] Write a SQL query to list all customers along with their total purchase amount.
[10M | Apply | 3] Create a SQL query to find the most popular product based on the number of orders.
[10M | Apply | 3] Write a SQL query to retrieve all employees who have not taken any vacation days.
[10M | Apply | 3] Write a SQL query to find the total number of orders placed in each month of the current year.
[10M | Apply | 3] Create a SQL query to list all products that have been ordered more than a specified number of times.
[10M | Apply | 3] Write a SQL query to find the employee with the highest sales in each department.
[10M | Apply | 3] Write a SQL query to retrieve the details of the last 5 orders placed in the system.
[10M | Analyze | 3] A retail company has a database that tracks customers, orders, and products. The company wants to ensure that only authorized employees can access sensitive customer information. How would you implement security measures to protect customer data in the database? Discuss the use of roles, privileges, and views.
[10M | Apply | 3] A university database contains tables for students, courses, and enrollments. The administration wants to enforce referential integrity to ensure that students can only enroll in courses that exist. Describe how you would set up referential integrity constraints in the database. Provide SQL examples.
[10M | Create | 3] A banking system requires that all transactions are logged for auditing purposes. The system uses triggers to monitor changes to account balances. Design a trigger that logs any changes to account balances, including the old and new values. Provide the SQL code for the trigger.
[10M | Apply | 3] An e-commerce platform wants to analyze customer purchasing behavior. They need to generate reports on total sales per product category and identify the top-selling products. Write SQL queries that would help the company generate these reports. Discuss how you would optimize these queries for performance.
[10M | Analyze | 3] A healthcare provider's database contains sensitive patient information. The organization wants to implement data masking for certain fields to protect patient privacy. Explain how you would implement data masking in the database. Provide examples of SQL queries that demonstrate this concept.
[10M | Evaluate | 3] A company is experiencing issues with SQL injection attacks on their web application. They want to enhance their database security measures. Discuss the strategies you would recommend to prevent SQL injection attacks. Provide examples of secure coding practices.
[10M | Analyze | 3] A project management database tracks tasks, employees, and project deadlines. The management wants to ensure that only project managers can modify task assignments. Describe how you would implement authorization controls in the database to restrict access based on user roles.
[10M | Create | 3] A travel agency's database needs to track customer bookings, payments, and itineraries. They want to ensure data integrity across all related tables. Explain how you would design the database schema to enforce data integrity. Include examples of primary and foreign keys.
[10M | Apply | 3] A social media platform wants to analyze user engagement metrics. They need to generate reports on user activity, including posts, comments, and likes. Write SQL queries that would help the platform generate these reports. Discuss how you would handle large datasets efficiently.
[10M | Create | 3] A logistics company needs to track shipments, delivery statuses, and customer feedback. They want to implement triggers to automatically update shipment statuses based on certain conditions. Design a trigger that updates the shipment status when a delivery is marked as complete. Provide the SQL code for the trigger.
[10M | Apply | 3] A healthcare database needs to track patient appointments and ensure that no double bookings occur. They want to enforce this rule through database constraints. Describe how you would implement constraints to prevent double bookings. Provide SQL examples.
[10M | Apply | 3] A travel agency wants to analyze customer feedback on their services. They need to generate reports on customer satisfaction ratings. Write SQL queries that would help the agency generate these reports. Discuss how you would handle missing data in the analysis.
[10M | Create | 3] A restaurant management system needs to track reservations and ensure that tables are not double-booked. They want to implement constraints to enforce this rule. Explain how you would set up the database schema to prevent double bookings, including the use of primary and foreign keys.


==================== CO5 ====================
[2M | Understand | None] What is meant by partial functional dependency?
[2M | Remember | 1 (Easy)] Define Pitfalls in Relational Database Design.
[2M | Understand | 1 (Easy)] Describe the concept of redundancy in relational databases.
[2M | Understand | 2 (Average)] Explain the impact of inconsistent data on relational database design.
[2M | Analyze | 2 (Average)] What are anomalies in relational databases? Discuss how update, insertion, and deletion anomalies occur.
[2M | Remember | 1 (Easy)] Define superkey and candidate key. Discuss their roles in functional dependencies.
[2M | Understand | 1 (Easy)] Explain the importance of preserving dependencies during normalization.
[2M | Remember | 1 (Easy)] What is functional dependency? List the types of functional dependencies.
[2M | Understand | 1 (Easy)] Describe the difference between a superkey and a candidate key.
[2M | Understand | 1] Explain 1st Normal Form (1NF) and provide an example of a table in 1NF.
[2M | Understand | 2] Explain the concept of 2NF and illustrate it with an example.
[2M | Understand | 2] How does 3NF improve data integrity? Explain with an example.
[2M | Understand | 2] Explain 3NF and its significance in ensuring data integrity. Provide an example.
[2M | Remember | 1] List the types of anomalies that occur in relational databases.
[2M | Remember | 2] Define functional dependency and provide examples of each type.
[2M | Understand | 1] Describe the concept of atomic values in 1NF with an example.
[2M | Understand | 1] Explain how a candidate key is different from a primary key.
[2M | Remember | 1] List the anomalies that can occur when a database is not normalized.
[2M | Understand | 1] Explain the term "redundancy" in the context of databases and provide an example.
[2M | Understand | 2] Define the term "NULL" in a relational database and discuss its overuse.
[2M | Understand | 1] What is the difference between a superkey and a primary key? Provide examples.
[2M | Understand | 1] Describe the concept of redundancy in database design with examples.
[2M | Remember | 1] List and explain the types of anomalies in database management systems.
[2M | Understand | 1] What is a candidate key and how does it differ from a primary key?
[2M | Understand | 1] Explain the concept of atomic values in relation to 1NF with an example.
[2M | Remember | 2] Define and explain the term "functional dependency" with examples.
[2M | Understand | 2] Discuss the concept of non-transitive dependency and how to eliminate it.
[2M | Understand | 1] What is the significance of a superkey? Explain with an example.
[2M | Remember | 2] Define functional dependency and discuss how it helps in normalization.
[2M | Understand | 2] How can partial dependency affect 2NF? Explain with an example.
[2M | Understand | 2] Define redundancy in database design. Explain its impact on database performance.
[2M | Remember | 1] What is a primary key? How does it differ from a candidate key?
[2M | Understand | 2] Explain the concept of data integrity and its importance in relational databases.
[2M | Understand | 1] Define and explain the concept of functional dependency. How does it relate to normalization?
[2M | Remember | 1] Define the concept of "atomic values" in 1NF. How does it differ from non-atomic values?
[2M | Understand | 1] Define a superkey. Explain its importance in functional dependency and key determination.
[2M | Remember | 2 (Average)] Define 3NF and explain how it is used to achieve database integrity by removing transitive dependencies.
[2M | Understand | 2 (Average)] Define and explain the concept of data anomalies. How do normalization techniques help resolve them?
[2M | Understand | 1 (Easy)] Define and explain the concept of a primary key. How does it relate to functional dependencies?
[2M | Remember | 1 (Easy)] Define functional dependency. How does it help in understanding database design?
[2M | Remember | 2 (Average)] Define transitive dependency. How does it violate 3NF? Provide an example.
[2M | Remember | 2 (Average)] Define 2NF. How does it address partial dependencies? Provide an example.
[5M | Analyze | None] Every relation in BCNF is also in 3NF
-  Justify the above statement.
[5M | Understand | None] What are the different types of dependencies? Explain with example.
[5M | Analyze | None] Consider a relation R with five attributes A, B, C, D and E. You are given the following dependencies:  A→B      BC→E     ED→A
a. Is R in 3NF?
b. Is R in BCNF?
[5M | Understand | None] What is BCNF? Explain with an example.
[5M | Apply | 3 (Difficult)] Solve an example showing the normalization process from 1NF to 3NF.
[5M | Analyze | 2 (Average)] Differentiate between 1NF and 2NF, and explain the significance of partial dependency.
[5M | Apply | 2 (Average)] Identify the functional dependencies in the following relation: Student_ID, Course_ID, Instructor, Instructor_Phone.
[5M | Analyze | 3 (Difficult)] Compare BCNF and 3NF, and discuss the issues resolved by BCNF.
[5M | Understand | 1 (Easy)] Explain the concept of 2NF and how it eliminates partial dependency.
[5M | Understand | 3 (Difficult)] Explain why 3NF is considered to be better than 2NF in relational design.
[5M | Understand | 3] Define Boyce-Codd Normal Form (BCNF). How is it stricter than 3NF?
[5M | Understand | 3] What is a multi-valued dependency? Explain how 4NF resolves it.
[5M | Analyze | 2] Differentiate between partial dependency and transitive dependency.
[5M | Apply | 2] Apply the process of normalization to convert the following relation to 2NF.
[5M | Analyze | 2] How does 1NF differ from 2NF? Explain with an example.
[5M | Apply | 3] Explain with an example how to convert a table to Boyce-Codd Normal Form.
[5M | Understand | 2] Define normalization. Discuss its importance in relational database design.
[5M | Apply | 2] Discuss the process of eliminating partial dependency to achieve 2NF.
[5M | Analyze | 2] Compare and contrast 2NF and 3NF with examples of each.
[5M | Apply | 2] Explain how a relation in 2NF can be converted to 3NF. Provide an example.
[5M | Analyze | 2] Differentiate between 2NF and 3NF with respect to partial and transitive dependencies.
[5M | Apply | 2] Demonstrate the normalization of a table from 1NF to 2NF with an example.
[5M | Understand | 2] How does normalization affect query performance in relational databases?
[5M | Analyze | 2] Discuss the impact of non-scalable designs on relational database performance.
[5M | Apply | 2] Explain how partial dependency can violate 2NF and how to eliminate it.
[5M | Apply | 2] Demonstrate the process of normalizing a relation from 2NF to 3NF.
[5M | Understand | 3] Discuss the significance of Boyce-Codd Normal Form (BCNF) in database design.
[5M | Understand | 2] Define transitive dependency and explain how it can be removed in 3NF.
[5M | Understand | 2] Discuss how the use of NULL values can affect data integrity in relational databases.
[5M | Understand | 2] Explain how normalization helps in reducing data redundancy. Provide an example.
[5M | Understand | 2] How does 3NF improve data integrity and why is it important?
[5M | Understand | 3] Define Boyce-Codd Normal Form (BCNF). Explain its strictness compared to 3NF.
[5M | Apply | 2] Explain the steps to eliminate partial dependency in 2NF with an example.
[5M | Understand | 2] Explain the importance of normalization in avoiding anomalies in databases.
[5M | Analyze | 3] Differentiate between 3NF and BCNF. Provide examples of tables in each.
[5M | Apply | 2] Define and provide an example of multi-valued dependency and its elimination.
[5M | Understand | 2] What are transitive dependencies? How do they affect 3NF?
[5M | Analyze | 3] Analyze a given relation and show how to normalize it to 3NF.
[5M | Understand | 3] Explain the concept of Boyce-Codd Normal Form (BCNF) and how it differs from 3NF.
[5M | Analyze | 2] Identify the issues caused by non-scalable designs in database management.
[5M | Apply | 2] Explain the process of identifying functional dependencies in a relation.
[5M | Apply | 2] Demonstrate how to eliminate transitive dependency to achieve 3NF.
